id,name,order_number,customer_id,created_at,updated_at,processed_at,closed_at,cancelled_at,financial_status,fulfillment_status,email,subtotal_price,total_discounts,total_tax,total_shipping_price_set_shop_money_amount,total_tip_received,total_price,currency,source_name,landing_site,landing_site_ref,cart_token,note_attributes,client_details_browser_width,client_details_user_agent,browser_ip,test,tags,note,discount_codes,shipping_address_country_code,shipping_address_province_code,billing_address_country_code
5000011,#01011,1011,502,2026-01-01T06:16:00+00:00,2026-01-01T06:16:00+00:00,2026-01-01T06:16:00+00:00,2026-01-08T06:16:00+00:00,,paid,fulfilled,pcallahan@example.net,684.5,12.0,53.81,0.0,0.0,726.31,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b4b,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",1442,Mozilla/5.0 (desktop) Safari/120.0,0.0.0.0,False,,,[],US,CA,US
5000012,#01012,1012,3183,2026-01-02T19:41:00+00:00,2026-01-02T19:41:00+00:00,2026-01-02T19:41:00+00:00,2026-01-09T19:41:00+00:00,,paid,fulfilled,browndavid@example.org,330.14,11.81,25.47,0.0,0.0,343.8,USD,web,https://northwindco.com/collections/google_ads,https://google.com,cart_00000000004c4b4c,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",373,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,FL,US
5000013,#01013,1013,2028,2026-01-02T03:41:00+00:00,2026-01-02T03:41:00+00:00,2026-01-02T03:41:00+00:00,2026-01-09T03:41:00+00:00,,paid,fulfilled,thomascunningham@example.net,832.71,23.69,64.72,0.0,0.0,873.74,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b4d,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",364,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,TX,US
5000014,#01014,1014,249,2026-01-02T12:35:00+00:00,2026-01-02T12:35:00+00:00,2026-01-02T12:35:00+00:00,2026-01-09T12:35:00+00:00,,paid,fulfilled,adam48@example.com,258.67,7.54,20.09,0.0,0.0,271.22,USD,web,https://northwindco.com/collections/direct,,cart_00000000004c4b4e,[],759,Mozilla/5.0 (tablet) Chrome/120.0,0.0.0.0,False,,,[],US,NY,US
5000015,#01015,1015,169,2026-01-02T03:54:00+00:00,2026-01-02T03:54:00+00:00,2026-01-02T03:54:00+00:00,2026-01-09T03:54:00+00:00,,paid,fulfilled,mclaughlincolleen@example.com,322.26,11.38,24.87,9.95,0.0,345.7,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b4f,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",372,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,GA,US
5000016,#01016,1016,451,2026-01-02T23:54:00+00:00,2026-01-02T23:54:00+00:00,2026-01-02T23:54:00+00:00,2026-01-09T23:54:00+00:00,,paid,fulfilled,karenmyers@example.net,56.03,2.56,4.28,0.0,0.0,57.75,USD,web,https://northwindco.com/collections/direct,,cart_00000000004c4b50,[],368,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],CA,BC,CA
5000017,#01017,1017,2762,2026-01-02T08:47:00+00:00,2026-01-02T08:47:00+00:00,2026-01-02T08:47:00+00:00,2026-01-09T08:47:00+00:00,,paid,fulfilled,mary17@example.com,534.62,2.42,42.57,9.95,0.0,584.72,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b51,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",1425,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],US,MA,US
5000018,#01018,1018,169,2026-01-02T08:30:00+00:00,2026-01-02T08:30:00+00:00,2026-01-02T08:30:00+00:00,2026-01-09T08:30:00+00:00,,paid,fulfilled,mclaughlincolleen@example.com,1015.3,32.8,78.6,0.0,0.0,1061.1,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b52,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",359,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,GA,US
5000019,#01019,1019,2431,2026-01-02T19:59:00+00:00,2026-01-02T19:59:00+00:00,2026-01-02T19:59:00+00:00,2026-01-09T19:59:00+00:00,,paid,fulfilled,rcoleman@example.net,414.83,9.64,32.42,0.0,0.0,437.61,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b53,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",1447,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],US,IL,US
5000020,#01020,1020,2598,2026-01-02T00:06:00+00:00,2026-01-02T00:06:00+00:00,2026-01-02T00:06:00+00:00,2026-01-09T00:06:00+00:00,,paid,fulfilled,rrichard@example.org,1072.76,24.86,83.82,14.95,0.0,1146.67,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b54,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",364,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],US,WA,US
5000021,#01021,1021,1301,2026-01-02T02:30:00+00:00,2026-01-02T02:30:00+00:00,2026-01-02T02:30:00+00:00,2026-01-09T02:30:00+00:00,,paid,fulfilled,longcourtney@example.com,571.63,12.93,44.7,14.95,0.0,618.35,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b55,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",1439,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],AU,VIC,AU
5000022,#01022,1022,153,2026-01-02T23:35:00+00:00,2026-01-02T23:35:00+00:00,2026-01-02T23:35:00+00:00,,,refunded,,twilson@example.net,869.38,17.25,68.17,14.95,0.0,935.25,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b56,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",372,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],AU,QLD,AU
5000023,#01023,1023,1833,2026-01-02T13:17:00+00:00,2026-01-02T13:17:00+00:00,2026-01-02T13:17:00+00:00,2026-01-09T13:17:00+00:00,,paid,fulfilled,jessicadaniels@example.net,267.26,3.01,21.14,7.95,0.0,293.34,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b57,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",1421,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],US,TX,US
5000024,#01024,1024,2732,2026-01-02T03:42:00+00:00,2026-01-02T03:42:00+00:00,2026-01-02T03:42:00+00:00,2026-01-09T03:42:00+00:00,,paid,fulfilled,courtney96@example.net,201.77,6.05,15.66,7.95,0.0,219.33,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b58,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",1454,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],US,WA,US
5000025,#01025,1025,1879,2026-01-02T20:04:00+00:00,2026-01-02T20:04:00+00:00,2026-01-02T20:04:00+00:00,2026-01-09T20:04:00+00:00,,paid,fulfilled,jonathan55@example.org,501.86,4.93,39.75,9.95,0.0,546.63,USD,web,https://northwindco.com/collections/direct,,cart_00000000004c4b59,[],372,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,WA,US
5000026,#01026,1026,1033,2026-01-03T22:44:00+00:00,2026-01-03T22:44:00+00:00,2026-01-03T22:44:00+00:00,2026-01-10T22:44:00+00:00,,paid,fulfilled,nicole02@example.org,445.47,12.1,34.67,7.95,0.0,475.99,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b5a,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",362,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],US,NY,US
5000027,#01027,1027,1582,2026-01-03T14:23:00+00:00,2026-01-03T14:23:00+00:00,2026-01-03T14:23:00+00:00,,,refunded,,pittmandavid@example.com,150.99,4.69,11.7,0.0,0.0,158.0,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b5b,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",389,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,CO,US
5000028,#01028,1028,249,2026-01-03T04:17:00+00:00,2026-01-03T04:17:00+00:00,2026-01-03T04:17:00+00:00,2026-01-10T04:17:00+00:00,,paid,fulfilled,adam48@example.com,1610.2,29.66,126.44,14.95,0.0,1721.93,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b5c,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",394,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,NY,US
5000029,#01029,1029,771,2026-01-03T02:24:00+00:00,2026-01-03T02:24:00+00:00,2026-01-03T02:24:00+00:00,2026-01-10T02:24:00+00:00,,paid,fulfilled,sandra59@example.com,72.21,1.13,5.69,9.95,0.0,86.72,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b5d,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",1447,Mozilla/5.0 (desktop) Safari/120.0,0.0.0.0,False,,,[],US,TX,US
5000030,#01030,1030,2431,2026-01-03T22:15:00+00:00,2026-01-03T22:15:00+00:00,2026-01-03T22:15:00+00:00,2026-01-10T22:15:00+00:00,,paid,fulfilled,rcoleman@example.net,300.72,7.51,23.46,9.95,0.0,326.62,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b5e,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",391,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],US,IL,US
5000031,#01031,1031,2732,2026-01-03T02:47:00+00:00,2026-01-03T02:47:00+00:00,2026-01-03T02:47:00+00:00,2026-01-10T02:47:00+00:00,,paid,fulfilled,courtney96@example.net,92.79,1.09,7.34,0.0,0.0,99.04,USD,web,https://northwindco.com/collections/google_ads,https://google.com,cart_00000000004c4b5f,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",378,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,WA,US
5000032,#01032,1032,2598,2026-01-03T06:26:00+00:00,2026-01-03T06:26:00+00:00,2026-01-03T06:26:00+00:00,2026-01-10T06:26:00+00:00,,paid,fulfilled,rrichard@example.org,625.76,24.5,48.1,9.95,0.0,659.31,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b60,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",370,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],US,WA,US
5000033,#01033,1033,1847,2026-01-03T21:40:00+00:00,2026-01-03T21:40:00+00:00,2026-01-03T21:40:00+00:00,2026-01-10T21:40:00+00:00,,paid,fulfilled,kcarter@example.net,497.83,16.12,38.53,0.0,0.0,520.24,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b61,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",369,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],US,CA,US
5000034,#01034,1034,1930,2026-01-03T00:27:00+00:00,2026-01-03T00:27:00+00:00,2026-01-03T00:27:00+00:00,2026-01-10T00:27:00+00:00,,paid,fulfilled,vperry@example.net,154.23,1.75,12.2,7.95,0.0,172.63,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b62,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",357,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,WA,US
5000035,#01035,1035,680,2026-01-03T15:40:00+00:00,2026-01-03T15:40:00+00:00,2026-01-03T15:40:00+00:00,2026-01-10T15:40:00+00:00,,paid,fulfilled,rothjody@example.net,274.8,11.25,21.08,7.95,0.0,292.58,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b63,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",1432,Mozilla/5.0 (desktop) Safari/120.0,0.0.0.0,False,,,[],CA,ON,CA
5000036,#01036,1036,1033,2026-01-03T10:02:00+00:00,2026-01-03T10:02:00+00:00,2026-01-03T10:02:00+00:00,2026-01-10T10:02:00+00:00,,paid,fulfilled,nicole02@example.org,322.04,10.12,24.95,7.95,0.0,344.82,USD,web,https://northwindco.com/collections/direct,,cart_00000000004c4b64,[],390,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],US,NY,US
5000037,#01037,1037,2132,2026-01-03T14:46:00+00:00,2026-01-03T14:46:00+00:00,2026-01-03T14:46:00+00:00,2026-01-10T14:46:00+00:00,,paid,fulfilled,michelle41@example.com,203.7,9.08,15.57,0.0,0.0,210.19,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b65,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",355,Mozilla/5.0 (mobile) Edge/120.0,0.0.0.0,False,,,[],US,TX,US
5000038,#01038,1038,1833,2026-01-03T10:09:00+00:00,2026-01-03T10:09:00+00:00,2026-01-03T10:09:00+00:00,2026-01-10T10:09:00+00:00,,paid,fulfilled,jessicadaniels@example.net,866.12,18.27,67.82,0.0,0.0,915.67,USD,web,https://northwindco.com/collections/google_ads,https://google.com,cart_00000000004c4b66,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",1446,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],US,TX,US
5000039,#01039,1039,2608,2026-01-04T19:17:00+00:00,2026-01-04T19:17:00+00:00,2026-01-04T19:17:00+00:00,2026-01-11T19:17:00+00:00,,paid,fulfilled,evan57@example.net,776.94,23.26,60.31,7.95,0.0,821.94,USD,web,https://northwindco.com/collections/google_ads,https://google.com,cart_00000000004c4b67,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",769,Mozilla/5.0 (tablet) Chrome/120.0,0.0.0.0,False,,,[],US,FL,US
5000040,#01040,1040,1956,2026-01-04T07:00:00+00:00,2026-01-04T07:00:00+00:00,2026-01-04T07:00:00+00:00,2026-01-11T07:00:00+00:00,,paid,fulfilled,tasha30@example.net,91.16,2.95,7.06,0.0,0.0,95.27,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b68,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",1433,Mozilla/5.0 (desktop) Safari/120.0,0.0.0.0,False,,,[],US,CA,US
5000041,#01041,1041,1808,2026-01-04T14:50:00+00:00,2026-01-04T14:50:00+00:00,2026-01-04T14:50:00+00:00,2026-01-11T14:50:00+00:00,,paid,fulfilled,dakota92@example.com,370.68,10.68,28.8,14.95,0.0,403.75,USD,web,https://northwindco.com/collections/direct,,cart_00000000004c4b69,[],1444,Mozilla/5.0 (desktop) Safari/120.0,0.0.0.0,False,,,[],US,TX,US
5000042,#01042,1042,1033,2026-01-04T17:13:00+00:00,2026-01-04T17:13:00+00:00,2026-01-04T17:13:00+00:00,2026-01-11T17:13:00+00:00,,paid,fulfilled,nicole02@example.org,59.46,1.65,4.62,9.95,0.0,72.38,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b6a,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",394,Mozilla/5.0 (mobile) Safari/120.0,0.0.0.0,False,,,[],US,NY,US
5000043,#01043,1043,2598,2026-01-04T14:27:00+00:00,2026-01-04T14:27:00+00:00,2026-01-04T14:27:00+00:00,2026-01-11T14:27:00+00:00,,paid,fulfilled,rrichard@example.org,491.51,15.4,38.09,0.0,0.0,514.2,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b6b,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",1435,Mozilla/5.0 (desktop) Safari/120.0,0.0.0.0,False,,,[],US,WA,US
5000044,#01044,1044,2533,2026-01-04T12:37:00+00:00,2026-01-04T12:37:00+00:00,2026-01-04T12:37:00+00:00,2026-01-11T12:37:00+00:00,,paid,fulfilled,psmith@example.com,126.16,0.43,10.06,0.0,0.0,135.79,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b6c,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",767,Mozilla/5.0 (tablet) Safari/120.0,0.0.0.0,False,,,[],US,NY,US
5000045,#01045,1045,1089,2026-01-04T18:13:00+00:00,2026-01-04T18:13:00+00:00,2026-01-04T18:13:00+00:00,2026-01-11T18:13:00+00:00,,paid,fulfilled,matthew73@example.net,1305.7,40.53,101.21,9.95,0.0,1376.33,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b6d,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",359,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,OR,US
5000046,#01046,1046,169,2026-01-04T03:28:00+00:00,2026-01-04T03:28:00+00:00,2026-01-04T03:28:00+00:00,2026-01-11T03:28:00+00:00,,paid,fulfilled,mclaughlincolleen@example.com,499.16,6.24,39.43,0.0,0.0,532.35,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b6e,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",1433,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],US,GA,US
5000047,#01047,1047,1956,2026-01-04T01:01:00+00:00,2026-01-04T01:01:00+00:00,2026-01-04T01:01:00+00:00,,,partially_refunded,fulfilled,tasha30@example.net,171.81,5.38,13.31,9.95,0.0,189.69,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b6f,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",758,Mozilla/5.0 (tablet) Chrome/120.0,0.0.0.0,False,,,[],US,CA,US
5000048,#01048,1048,153,2026-01-04T07:28:00+00:00,2026-01-04T07:28:00+00:00,2026-01-04T07:28:00+00:00,2026-01-11T07:28:00+00:00,,paid,fulfilled,twilson@example.net,276.64,2.61,21.92,9.95,0.0,305.9,USD,web,https://northwindco.com/collections/direct,,cart_00000000004c4b70,[],1452,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],AU,QLD,AU
5000049,#01049,1049,1249,2026-01-04T06:11:00+00:00,2026-01-04T06:11:00+00:00,2026-01-04T06:11:00+00:00,2026-01-11T06:11:00+00:00,,paid,fulfilled,william25@example.net,399.6,7.35,31.38,9.95,0.0,433.58,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b71,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",355,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,IL,US
5000050,#01050,1050,2125,2026-01-04T03:05:00+00:00,2026-01-04T03:05:00+00:00,2026-01-04T03:05:00+00:00,2026-01-11T03:05:00+00:00,,paid,fulfilled,walterjulie@example.org,377.38,7.98,29.55,14.95,0.0,413.9,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b72,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",1452,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],US,WA,US
5000051,#01051,1051,153,2026-01-05T08:36:00+00:00,2026-01-05T08:36:00+00:00,2026-01-05T08:36:00+00:00,2026-01-12T08:36:00+00:00,,paid,fulfilled,twilson@example.net,127.88,5.8,9.77,14.95,0.0,146.8,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b73,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",783,Mozilla/5.0 (tablet) Firefox/120.0,0.0.0.0,False,,,[],AU,QLD,AU
5000052,#01052,1052,1089,2026-01-05T01:56:00+00:00,2026-01-05T01:56:00+00:00,2026-01-05T01:56:00+00:00,2026-01-12T01:56:00+00:00,,paid,fulfilled,matthew73@example.net,187.16,6.05,14.49,9.95,0.0,205.55,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b74,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",377,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,OR,US
